id,company_id,year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,fiscal_year,sort_order,is_ttm,equity,debt_to_equity,equity_ratio
735,ICICIGI,Mar 2017,451.0,3450,485,18965,23351,516,11,14806,8018,23351,2017,201704,False,3901.0,0.12432709561650859,0.1670592265855852
736,ICICIGI,Mar 2018,454.0,4087,485,24723,29750,368,38,18193,11151,29750,2018,201804,False,4541.0,0.1068046685752037,0.15263865546218489
737,ICICIGI,Mar 2019,454.0,4946,485,27517,33403,1965,17,20714,10707,33403,2019,201904,False,5400.0,0.08981481481481482,0.16166212615633327
738,ICICIGI,Mar 2020,454.0,5680,485,30423,37042,664,12,26327,10039,37042,2020,202004,False,6134.0,0.07906749266384089,0.16559581016143837
739,ICICIGI,Mar 2021,455.0,7144,485,31214,39298,717,14,30788,7779,39298,2021,202104,False,7599.0,0.06382418739307803,0.19336861926815613
740,ICICIGI,Mar 2022,491.0,8702,255,41401,50848,941,11,38412,11485,50848,2022,202204,False,9193.0,0.02773849668225824,0.18079373820012587
741,ICICIGI,Mar 2023,491.0,9953,35,44607,55086,883,25,42836,11342,55086,2023,202304,False,10444.0,0.003351206434316354,0.189594452310932
742,ICICIGI,Mar 2024,493.0,11712,35,51068,63308,930,94,48584,13700,63308,2024,202404,False,12205.0,0.0028676771814829987,0.19278764137233842
743,ICICIGI,Sep 2024,495.0,13130,0,54389,68014,760,0,51557,15697,68014,2024,202410,False,13625.0,0.0,0.20032640338753785
744,ICICIPRULI,Mar 2013,1429.0,2532,0,71260,75220,165,7,73716,1332,75220,2013,201304,False,3961.0,0.0,0.052658867322520606
745,ICICIPRULI,Mar 2014,1429.0,2954,0,77090,81474,197,5,80101,1171,81474,2014,201404,False,4383.0,0.0,0.05379630311510421
746,ICICIPRULI,Mar 2015,1432.0,3833,0,95951,101215,209,6,99491,1509,101215,2015,201504,False,5265.0,0.0,0.0520179815244776
747,ICICIPRULI,Mar 2016,1432.0,3891,1029,98413,104765,212,7,103024,1522,104765,2016,201604,False,5323.0,0.19331204208153296,0.050808953371832194
748,ICICIPRULI,Mar 2017,1435.0,4971,0,118335,124741,207,7,121581,2946,124741,2017,201704,False,6406.0,0.0,0.051354406329915586
749,ICICIPRULI,Mar 2018,1436.0,5138,0,135245,141819,404,18,138537,2859,141819,2018,201804,False,6574.0,0.0,0.04635486077323913
750,ICICIPRULI,Mar 2019,1436.0,5435,0,156215,163086,463,13,159003,3607,163086,2019,201904,False,6871.0,0.0,0.04213114553057896
751,ICICIPRULI,Mar 2020,1436.0,5777,0,148818,156031,932,20,150776,4303,156031,2020,202004,False,7213.0,0.0,0.046227993155206336
752,ICICIPRULI,Mar 2021,1436.0,7673,1200,206911,217220,911,22,211727,4560,217220,2021,202104,False,9109.0,0.1317378416950269,0.04193444434214161
753,ICICIPRULI,Mar 2022,1437.0,7721,1200,234079,244437,433,54,238101,5848,244437,2022,202204,False,9158.0,0.1310329766324525,0.03746568645499659
754,ICICIPRULI,Mar 2023,1439.0,8651,1200,244562,255851,479,117,248216,7039,255851,2023,202304,False,10090.0,0.11892963330029732,0.039437016075762846
755,ICICIPRULI,Mar 2024,1441.0,9564,1200,286796,299001,670,49,289728,8553,299001,2024,202404,False,11005.0,0.10904134484325306,0.036805896970244244
756,ICICIPRULI,Sep 2024,1444.0,10130,0,314063,326838,762,0,314855,11220,326838,2024,202410,False,11574.0,0.0,0.0354120389917941
757,INDIGO,Mar 2013,0.4,4,11,11,26,5,0,0,21,26,2013,201304,False,4.4,2.5,0.16923076923076924
758,INDIGO,Mar 2014,0.4,4,14,16,35,10,0,0,25,35,2014,201404,False,4.4,3.1818181818181817,0.12571428571428572
759,INDIGO,Mar 2015,0.4,26,4,30,61,12,1,1,46,61,2015,201504,False,26.4,0.15151515151515152,0.43278688524590164
760,INDIGO,Mar 2016,0.4,129,8,58,196,13,0,124,58,196,2016,201604,False,129.4,0.061823802163833076,0.6602040816326531
761,INDIGO,Mar 2017,29.0,69,52,97,246,91,2,16,137,246,2017,201704,False,98.0,0.5306122448979592,0.3983739837398374
762,INDIGO,Mar 2018,29.0,71,54,125,279,95,2,15,167,279,2018,201804,False,100.0,0.54,0.35842293906810035
763,INDIGO,Mar 2019,29.0,100,88,156,373,149,4,20,201,373,2019,201904,False,129.0,0.6821705426356589,0.34584450402144773
764,INDIGO,Mar 2020,29.0,150,75,169,422,201,1,21,199,422,2020,202004,False,179.0,0.41899441340782123,0.42417061611374407
765,INDIGO,Mar 2021,48.0,516,9,239,811,249,3,50,509,811,2021,202104,False,564.0,0.015957446808510637,0.6954377311960542
766,INDIGO,Mar 2022,48.0,602,12,258,920,253,51,173,442,920,2022,202204,False,650.0,0.018461538461538463,0.7065217391304348
767,INDIGO,Mar 2023,48.0,729,12,274,1062,265,251,132,414,1062,2023,202304,False,777.0,0.015444015444015444,0.731638418079096
768,INDIGO,Mar 2024,48.0,867,17,290,1222,548,15,188,471,1222,2024,202404,False,915.0,0.018579234972677595,0.7487725040916531
769,INDIGO,Sep 2024,48.0,905,20,266,1239,570,64,178,427,1239,2024,202410,False,953.0,0.02098635886673662,0.7691686844229217
770,INDUSINDBK,Mar 2013,523.0,7107,63576,2100,73307,741,16,19654,52896,73307,2013,201304,False,7630.0,8.332372214941023,0.10408282974340786
771,INDUSINDBK,Mar 2014,526.0,8517,75264,2719,87026,991,25,21563,64447,87026,2014,201404,False,9043.0,8.3229016919164,0.10391147473168938
772,INDUSINDBK,Mar 2015,529.0,10115,94752,6390,111787,1120,38,22878,87751,111787,2015,201504,False,10644.0,8.901916572717024,0.09521679622854178
773,INDUSINDBK,Mar 2016,595.0,17101,117996,7205,142897,1218,37,34054,107587,142897,2016,201604,False,17696.0,6.667947558770344,0.1238374493516309
774,INDUSINDBK,Mar 2017,598.0,20048,149026,8976,178648,1307,28,36702,140611,178648,2017,201704,False,20646.0,7.218153637508476,0.11556804442255161
775,INDUSINDBK,Mar 2018,600.0,23241,189928,7856,221626,1313,25,50077,170211,221626,2018,201804,False,23841.0,7.966444360555346,0.1075731186774115
